candidate,hf_or_repo,params,role,scientific_relevance,real_recurrent_state,state_externally_accessible,state_semantically_checkpointable_restorable,historical_state_capturable,feasibility_3090,maturity,quantization,base_inference_complexity,state_introspection_complexity,lifecycle_qualification_risk,lifecycle_status,base_forgetting_test_feasibility,causal_interpretability,expected_gpu_cost,license,key_blockers,evidence_grade
Gated DeltaNet-1.3B,linear-moe-hub/Gated-Deltanet-1.3B (+340M); fla-org/flash-linear-attention,0.34-1.4B,PRIMARY,high (Qwen-GDN transplant target; same mechanism as deployment),"yes matrix S[H,dk,dv]+conv",yes (fla HF Cache: recurrent_state+conv_state),NOT_QUALIFIED (public GDN segmented/manual-cache discrepancies; prove on pinned backend),yes (per-chunk/per-token via fla kernels),fits easily (~2.6GB bf16),high,bf16/bnb,low,low-med (Cache API exists),HIGH (segmented/manual-cache restore discrepancy risk; BIT_EXACT unproven),NOT_QUALIFIED (until RNN-06A on pinned backend/version/checkpoint),med-high (must push past trained load),high,low,Apache-2.0,may be robust within trained load (EXT2 risk); Triton/WSL build friction; lifecycle BIT_EXACT unproven,A
Mamba-2,"state-spaces/mamba2-{130m,370m,780m,1.3b,2.7b}",0.13-2.7B,FALLBACK,high (strongest directly-relevant state-capacity/long-context evidence among runnable fallbacks; SSM != GDN),"yes matrix ssm_state(nheads,headdim,d_state~128)+conv",yes (mamba_ssm InferenceParams / HF Mamba2Cache),NOT_QUALIFIED (HF Mamba2 doc: batched-vs-cached slight discrepancy; prove per backend),yes,fits easily (2.7B ~5.4GB); 5-size scaling axis,high (reference impl),bf16/4-bit,low,low,MED (known kernel batched-vs-cached discrepancy; BIT_EXACT unproven),NOT_QUALIFIED (until measured),"med-high (Based/Zoology MQAR; Stuffed-Mamba length-vs-capacity are directly relevant, but a smooth common graded band on OUR mamba2-1.3b checkpoint is NOT_QUALIFIED until measured)",high (ROME-for-Mamba precedent),low,Apache-2.0,not delta-rule GDN; graded band on our checkpoint NOT_QUALIFIED; verify BIT_EXACT,A
RecurrentGemma-2B (Griffin),google/recurrentgemma-2b(-it),2B,CROSS_CHECK,high (genuine RG-LRU recurrence + built-in local-attention control),yes RG-LRU,yes (HF cache),NOT_QUALIFIED (prove on pinned backend),yes,fits easily,high,bf16,low,med,MED,NOT_QUALIFIED,med,med,low,Gemma (gated download),gated license; must isolate local-attn pathway as control,A
DeltaNet-1.3B,fla-hub/delta_net-1.3B-100B (+2.7B),1.3-2.7B,ARM,high (ungated mechanism-proper arm),yes matrix+conv,yes (fla),NOT_QUALIFIED (same fla cache path; prove on pinned backend),yes,fits easily,high,bf16,low,low-med,MED-HIGH (fla segmented/manual-cache path; BIT_EXACT unproven),NOT_QUALIFIED,med,high,low,Apache-class,weak research-scale LM; lifecycle unproven,A
GLA-1.3B,fla-hub/gla-1.3B-100B,1.3B,LA_CONTROL,"control (campaign continuity, linear-attention)",yes (gated linear-attn state),yes (fla),NOT_QUALIFIED (prove on pinned backend),yes,fits easily,high,bf16,low,low-med,MED,NOT_QUALIFIED,low-med,high,low,Apache-class,control-only; lifecycle unproven,A
RWKV-7 Goose,"fla-hub/rwkv7-{0.1,0.4,1.5,2.9,7.2}B; BlinkDL/rwkv-7-world",0.1-7.2B,EXTRA_ARM,med-high (mature state-first; delta-rule-like but diag+rank1),yes wkv state (head 64),yes (fla; native state-tuning ecosystem),NOT_QUALIFIED here (community state-manipulation exists; prove on pinned backend),yes,fits (all sizes),high,GGUF+ ecosystem,low,low,MED,NOT_QUALIFIED,med,med,low,Apache-2.0,"not a GDN drop-in (vector gates, in-context LR)",A
Nemotron-Nano-9B-v2,nvidia/NVIDIA-Nemotron-Nano-9B-v2,9B,LARGER_OPTION,med-high (strong long-context Mamba-2/attn hybrid),yes Mamba-2 + attn,yes (HF),NOT_QUALIFIED,yes,tight (~22 GiB bf16; prefer 4-bit),high,4-bit,med,med,MED-HIGH (hybrid + tight VRAM),NOT_QUALIFIED,med-high,med,med,NVIDIA (verify),tight VRAM; hybrid attn confound,A/B
Falcon-Mamba-7B / Codestral-Mamba-7B,tiiuae/falcon-mamba-7b; mistralai/Mamba-Codestral-7B-v0.1,7B,LARGER_OPTION,med (single-arch attention-free 7B),yes (M1 d_state=16 vec / M2 matrix),yes,NOT_QUALIFIED,yes,fits (bf16 ~14GB / 4-bit ~5GB),high,GGUF/4-bit,low-med,med,MED,NOT_QUALIFIED,med,med,low-med,Falcon-Mamba 1.0 / Apache-2.0,Falcon-Mamba d_state=16 less analogous to GDN matrix state,A
Gated DeltaNet-2 (GDN-2),NVlabs/GatedDeltaNet-2; arXiv:2605.22791; in fla,1.3B,WATCH,high (channel-wise erase/write decoupling),yes matrix (DPLR),yes (in fla),NOT_QUALIFIED (decoupled gates complicate substitution),yes,fits (~2.6GB),new (post-cutoff),bf16,low-med,med,HIGH (new; gates complicate state substitution),NOT_QUALIFIED,med,high,low,NVIDIA Source Code License-NC,NC license; downloadable weights [verify]; post-cutoff,B
Sparse Delta Memory (SDM),facebookresearch/sparse-delta-memory; arXiv:2607.07386,1.4-8B configs,WATCH,high (sparse slots resist overwrite; delta retrieve-then-write),yes N x d memory table,yes (released code+kernels),N/A (no released weights; train-from-scratch),yes,1.4B ceiling; 7B/8B out of reach,new (post-cutoff),n/a,high (train-from-scratch),med,HIGH,NOT_QUALIFIED,med,high,high (no weights; ~1T-tok train),CC-BY-NC 4.0,no released weights; NC; heavy training; [verify],A/B
